,embedding,optimizer,loss_func,scale_factor,optimizer_lr,loss,top5_acc,top10_acc,val_loss,val_top5_acc,val_top10_acc
0,32,<keras.optimizers.optimizer_experimental.adam.Adam object at 0x00000207D0E36CB0>,<keras.losses.SparseCategoricalCrossentropy object at 0x00000207D0E37220>,1.0,0.001,6.132203578948975,0.0423034243285656,0.0791995301842689,6.2436137199401855,0.0423342362046241,0.0799235925078392
1,32,<keras.optimizers.optimizer_experimental.sgd.SGD object at 0x00000207CEF35630>,<keras.losses.SparseCategoricalCrossentropy object at 0x00000207CEF367A0>,1.0,0.01,6.843719959259033,0.0184403508901596,0.0358793437480926,6.812471389770508,0.0199038702994585,0.0401158481836319
2,64,<keras.optimizers.optimizer_experimental.adam.Adam object at 0x00000207D388E290>,<keras.losses.SparseCategoricalCrossentropy object at 0x00000207D38A5300>,1.0,0.001,6.084887027740479,0.0431661307811737,0.0822344124317169,6.221567153930664,0.0452304668724536,0.0834360346198082
3,64,<keras.optimizers.optimizer_experimental.sgd.SGD object at 0x00000207D99017B0>,<keras.losses.SparseCategoricalCrossentropy object at 0x00000207D9902F20>,1.0,0.01,6.847412109375,0.0177316982299089,0.0345236621797084,6.820372581481934,0.0209514424204826,0.0394380092620849
4,32,<keras.optimizers.optimizer_experimental.adam.Adam object at 0x00000207DE7A66B0>,<keras.losses.SparseCategoricalCrossentropy object at 0x00000207DE7CC040>,2.0,0.001,6.191020488739014,0.0397769287228584,0.0736227482557296,6.293145656585693,0.04097855463624,0.0751170814037323
5,32,<keras.optimizers.optimizer_experimental.sgd.SGD object at 0x00000207DF3414E0>,<keras.losses.SparseCategoricalCrossentropy object at 0x00000207DF341AB0>,2.0,0.01,6.842378616333008,0.0176854822784662,0.0350166372954845,6.842554569244385,0.0199654921889305,0.0380823276937007
6,64,<keras.optimizers.optimizer_experimental.adam.Adam object at 0x00000207DFDDA680>,<keras.losses.SparseCategoricalCrossentropy object at 0x00000207DFDF1CF0>,2.0,0.001,6.078089237213135,0.0443985685706138,0.0823268443346023,6.252843379974365,0.0434434302151203,0.0815873816609382
7,64,<keras.optimizers.optimizer_experimental.sgd.SGD object at 0x00000207D291B460>,<keras.losses.SparseCategoricalCrossentropy object at 0x00000207D28F6C20>,2.0,0.01,6.8400187492370605,0.0181168355047702,0.0352939367294311,6.798262596130371,0.0201503578573465,0.0389450341463089
8,8,<keras.optimizers.optimizer_experimental.adam.Adam object at 0x0000020786D7C0A0>,<keras.losses.SparseCategoricalCrossentropy object at 0x000002078913D600>,0.5,0.0010000000474974,6.363650798797607,0.0313347317278385,0.0587872825562953,6.416108131408691,0.0340769030153751,0.0643948763608932
9,8,<keras.optimizers.optimizer_experimental.sgd.SGD object at 0x00000207C360F3D0>,<keras.losses.SparseCategoricalCrossentropy object at 0x00000207ED754190>,0.5,0.0099999997764825,6.858179569244385,0.0183325111865997,0.035648263990879,6.822200298309326,0.0203968454152345,0.0394996292889118
